Timestamp,LoopCnt,LoopTime(ms),AvgLoopTime(ms),IrCnt,IrTime(ms),AvgIrTime(ms),IR1,IR2,IR3,IR4,IR5,T1,T2,T3,T4,T5
14:34:09.094,52762,26,25.42,26382,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.196,52764,25,25.41,26383,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.247,52766,25,25.41,26384,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.297,52768,25,25.41,26385,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.348,52770,26,25.41,26386,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.400,52772,26,25.42,26387,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.451,52774,25,25.41,26388,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.501,52776,25,25.41,26389,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.553,52778,25,25.41,26390,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.604,52780,26,25.41,26391,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.655,52782,26,25.41,26392,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.706,52784,25,25.41,26393,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.757,52786,25,25.41,26394,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.808,52788,26,25.41,26395,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.859,52790,26,25.42,26396,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.910,52792,24,25.41,26397,51,52.08,0,0,0,0,0,1,1,1,1,1
14:34:09.962,52794,25,25.41,26398,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.013,52796,26,25.41,26399,53,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.064,52798,26,25.41,26400,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.115,52800,26,25.42,26401,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.166,52802,25,25.41,26402,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.217,52804,25,25.41,26403,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.269,52806,25,25.41,26404,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.320,52808,25,25.41,26405,52,52.08,0,0,0,0,0,1,1,1,1,1
14:34:10.370,52810,25,25.41,26406,52,52.08,0,0,0,0,0,1,1,1,1,1
